		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW			Rain	Heat	Cool	In 	In	In 	In 	In 	In Air	Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Bar  	Rain	Rate	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	Samp	Tx 	Recept	Int.
01.08.23	20:00	10.3	10.9	10.3	71	5.3	0.0	NNW	0.00	1.8	NNW	10.3	10.1	10.1	1013.0	0.00	0.0	0.083	0.000	22.1	57	13.2	21.9	10.48	1.1780	347	1	100.0	15
01.08.23	20:15	10.1	10.3	10.0	71	5.1	0.4	NNW	0.40	1.8	NNW	10.1	9.9	9.9	1013.2	0.00	0.0	0.086	0.000	22.1	57	13.2	21.9	10.48	1.1782	345	1	100.0	15
01.08.23	20:30	10.2	10.2	10.1	70	5.0	0.4	NNW	0.40	0.9	NNW	10.2	10.0	10.0	1013.4	0.00	0.0	0.084	0.000	22.1	57	13.1	21.8	10.48	1.1787	345	1	100.0	15
01.08.23	20:45	9.7	10.2	9.7	73	5.1	0.9	NW	0.80	1.8	NNW	9.7	9.5	9.5	1013.3	0.00	0.0	0.090	0.000	21.8	57	12.9	21.4	10.50	1.1797	350	1	100.0	15
01.08.23	21:00	11.1	11.1	9.7	66	4.9	0.4	NW	0.40	2.2	NE	11.1	10.7	10.7	1013.3	0.00	0.0	0.076	0.000	21.7	57	12.8	21.3	10.51	1.1803	346	1	100.0	15
01.08.23	21:15	11.5	11.6	11.1	66	5.4	0.4	WNW	0.40	2.2	NNW	11.5	11.1	11.1	1013.4	0.00	0.0	0.071	0.000	21.9	58	13.3	21.6	10.69	1.1792	343	1	100.0	15
01.08.23	21:30	12.0	12.0	11.3	66	5.8	1.3	NW	1.21	4.5	NW	12.0	11.5	11.5	1013.3	0.00	0.0	0.066	0.000	21.9	58	13.3	21.6	10.69	1.1791	351	1	100.0	15
01.08.23	21:45	12.9	12.9	12.1	62	5.8	2.7	NNW	2.41	5.4	NNW	12.2	12.3	11.6	1013.2	0.00	0.0	0.056	0.000	21.9	58	13.3	21.7	10.69	1.1787	347	1	100.0	15
01.08.23	22:00	12.9	13.2	12.9	62	5.8	3.1	NW	2.82	4.9	NW	11.9	12.2	11.2	1013.0	0.00	0.0	0.057	0.000	21.8	58	13.1	21.4	10.70	1.1794	347	1	100.0	15
01.08.23	22:15	12.6	13.2	12.6	63	5.7	3.1	WNW	2.82	4.9	NW	11.6	12.0	10.9	1013.1	0.00	0.0	0.060	0.000	21.8	58	13.1	21.4	10.70	1.1795	348	1	100.0	15
01.08.23	22:30	12.6	13.2	12.6	63	5.7	2.7	NW	2.41	4.5	NW	11.8	12.0	11.2	1013.1	0.00	0.0	0.060	0.000	21.7	58	13.1	21.3	10.71	1.1797	344	1	100.0	15
01.08.23	22:45	12.3	12.8	12.3	63	5.4	2.2	WNW	2.01	4.9	WNW	11.7	11.7	11.1	1013.0	0.00	0.0	0.063	0.000	21.6	58	13.0	21.2	10.71	1.1802	350	1	100.0	15
01.08.23	23:00	12.0	12.3	11.9	66	5.8	3.1	WNW	2.82	4.9	WNW	10.8	11.5	10.3	1013.0	0.00	0.0	0.066	0.000	21.5	58	12.9	21.1	10.72	1.1808	349	1	100.0	15
01.08.23	23:15	12.6	12.6	12.0	66	6.4	3.1	WNW	2.82	4.9	WNW	11.5	12.0	10.9	1013.1	0.00	0.0	0.060	0.000	21.2	58	12.6	20.7	10.74	1.1823	343	1	100.0	15
01.08.23	23:30	13.6	13.6	12.6	62	6.4	2.7	NNW	2.41	5.4	NNW	12.9	12.9	12.3	1013.1	0.00	0.0	0.050	0.000	20.9	58	12.3	20.4	10.75	1.1840	349	1	100.0	15
01.08.23	23:45	12.3	13.7	12.3	67	6.3	3.1	WNW	2.82	4.9	WNW	11.2	11.8	10.7	1013.1	0.00	0.0	0.063	0.000	20.6	58	12.1	20.2	10.75	1.1854	349	1	100.0	15
